,VGCPastes Repository (Champions),,,,,,,,,,,,,,,,,,,Total Team Count:,,455,,,,,Total Creator Count: ,325,,,Teams with Replicas: ,418,,,,,,,,,,,,
,Click here to visit our Twitter for latest updates!,,,,,,,,Click here to see Champions Featured Teams (Teams with results only),,,,,,,,,,,,,,,,,,DM us in Discord if Replica Code is not available anymore! ⬇︎,,,Source /,,Note: Most of the teams we find are from Twitter,,,,,,,,,,,,
Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Replica Status,"Replica Code
(Click text for image)",Date Shared,Tournament / Event,Rank,Link to Source,Report / Video,Other Links,Owner,,Pokemon Text for Copypasta,,,,,,,Team ID
PC455,DDee's Gengar Rain Team,,Michael Uko,,,,Gengarite,,,Shuca Berry,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/73bc9b1efba89138,Yes,Extracted,✔,BBP13QRTJ0,24 Apr 2026,-,,https://x.com/ddee_ssbu/status/2047641559865192836?s=46,-,-,ddee_ssbu,,Gengar-Mega,Incineroar,Basculegion,Pelipper,Maushold-Four,Kommo-o,,PC455
PC454,MeLuCaVGC's Kangaskhan Aegislash Team,,MeLuCaVGC,,,,Kangaskhanite,,,Sharp Beak,,,Leftovers,,,Focus Sash,,,Spell Tag,,,Choice Scarf,,https://pokepast.es/80a30bfdb462d059,Yes,Extracted,✔,1GN7M7AATS,24 Apr 2026,Video,,https://www.youtube.com/watch?si=0shfBmxDLLseefde&v=PrjBU90jrLw&feature=youtu.be,-,-,Manual Entry,,Kangaskhan-Mega,Talonflame,Milotic,Sneasler,Aegislash,Garchomp,,PC454
PC453,Wolfey's Greninja Vanilluxe Team,,Wolfey,,,,Greninjite,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,,Focus Sash,,,Lum Berry,,https://pokepast.es/5911d299b43a5197,Yes,Extracted,✔,TS219HTWP5,23 Apr 2026,Video,,https://www.youtube.com/watch?si=u48GvZPDmpelBCbP&v=asQEyQLDyl4&feature=youtu.be,-,-,Manual Entry,,Greninja-Mega,Incineroar,Milotic,Vanilluxe,Gengar,Garchomp,,PC453
PC452,Xeb_41's Delites Champions Cup #1 Top 8 Team,,Ioannis Baziotis,,,,Floettite,,,Froslassite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Haban Berry,,https://pokepast.es/e6398522d6f655d0,Yes,Extracted,✔,RTQFVSDSTF,24 Apr 2026,Delites Champions Cup #1,5th,https://x.com/xeb_41/status/2047488764247679110?s=46,-,-,xeb_41,,Floette-Eternal-Mega,Froslass-Mega,Basculegion,Sneasler,Kingambit,Garchomp,,PC452
PC451,dodoriosiriru's Floette Venusaur Team,,Hijito Kihara,,,,Floettite,,,Venusaurite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/d6408a400196a320,Yes,Extracted,✔,1D1GU01L97,24 Apr 2026,-,,https://x.com/dodoriosiriru/status/2047492404824232189?s=46,-,-,dodoriosiriru,,Floette-Eternal-Mega,Venusaur-Mega,Ninetales,Basculegion,Sinistcha,Dragonite,,PC451
PC450,nagareoo's Blastoise Rain Team V2,,nagareoo,,,,Blastoisinite,,,Sharp Beak,,,Mystic Water,,,Focus Sash,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/bbfd6a2f36b6c6ef,Yes,Extracted,✔,C6EN2JT1LS,24 Apr 2026,-,,https://x.com/nagareoo/status/2047689283591635414?s=20,-,-,nagareoo,,Blastoise-Mega,Talonflame,Politoed,Gengar,Kingambit,Sylveon,,PC450
PC449,nagareoo's Blastoise Rain Team,,nagareoo,,,,Blastoisinite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,Black Glasses,,,Fairy Feather,,https://pokepast.es/bebc8e839a2bc389,Yes,Extracted,✔,4NAM0VYPJD,23 Apr 2026,-,,https://x.com/nagareoo/status/2047327207190929718?s=46,-,-,nagareoo,,Blastoise-Mega,Incineroar,Politoed,Gengar,Kingambit,Sylveon,,PC449
