,VGCPastes Repository (Champions M-B),,,,,,,,,,,,,,,,,,,Total Team Count:,,129,,,,,Total Creator Count: ,116,,,Teams with Replicas: ,124,,,,,,,,,,,,
,Click here to visit our Twitter for latest updates!,,,,,,,,Click here to see Champions Featured Teams (Teams with results only),,,,,,,,,,,,,,,,,,DM us in Discord if Replica Code is not available anymore! ⬇︎,,,Source /,,Note: Most of the teams we find are from Twitter,,,,,,,,,,,,
Team ID,Team Description,,Full Name,,1,,,2,,,3,,,4,,,5,,,6,,,,Pokepaste,EVs,Extracted paste?,Replica Status,"Replica Code
(Click text for image)",Date Shared,Tournament / Event,Rank,Link to Source,Report / Video,Other Links,Owner,,Pokemon Text for Copypasta,,,,,,,Team ID
MB129,Snorlaxpikachu1's r/VGC Regulation M-B Kickoff Cup Champion Team,,Snorlaxpikachu1,,,,Floettite,,,Pyroarite,,,Choice Scarf,,,Life Orb,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/10a37f301c6e583f,Yes,Owner's,✔,69PKNEEC91,20 Jun 2026,r/VGC Regulation M-B Kickoff Cup,Champion,https://youtu.be/rDd7eWD44Vw?si=B5FylTJ9KnDe3Z9P,-,-,Snorlaxpikachu1,,Floette-Mega,Pyroar-Mega,Ninetales,Basculegion,Whimsicott,Farigiraf,,MB129
MB128,hirseknabe's r/VGC Regulation M-B Kickoff Cup Runner Up Team,,hirseknabe,,,,Kangaskhanite,,,Charcoal,,,Choice Scarf,,,Focus Sash,,,Colbur Berry,,,Haban Berry,,https://pokepast.es/b94b2877b5dd4f7d,Yes,Owner's,✔,H4S1K5J6NA,19 Jun 2026,r/VGC Regulation M-B Kickoff Cup,Runner Up,https://x.com/hirseknabe/status/2067943611639976259?s=46,https://teamsheet.gg/t/wait-is-vileplume-good-2nd-place-at-the-largest-regulation-m-0as5d6,-,hirseknabe,,Kangaskhan-Mega,Torkoal,Basculegion,Vileplume,Farigiraf,Kommo-o,,MB128
MB127,Wolfey's r/VGC Regulation M-B Kickoff Cup Top 16 Team,,Wolfe Glick,,,,Floettite,,,Mystic Water,,,Raichunite Y,,,Focus Sash,,,Life Orb,,,Sitrus Berry,,https://pokepast.es/7d0d8f36a4fc312b,Yes,Extracted,✔,SR77A5DKC3,20 Jun 2026,r/VGC Regulation M-B Kickoff Cup,9th,https://www.youtube.com/watch?v=oytYBnWu5DA,-,-,WolfeyGlick,,Floette-Eternal-Mega,Basculegion,Raichu,Whimsicott,Gholdengo,Garchomp,,MB127
MB126,ansena's Tera Square Offline #2 Champion Team,,ansena,,,,Pyroarite,,,Scraftinite,,,Heat Rock,,,Life Orb,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/f1137c3c585ed29c,Yes,Extracted,✔,6AS3XFULSE,20 Jun 2026,Tera Square Offline #2,Champion,https://x.com/iruto_ansena/status/2068264226922307847?s=20,-,-,iruto_ansena,,Pyroar-Mega,Scrafty-Mega,Torkoal,Venusaur,Mamoswine,Farigiraf,,MB126
MB125,Toranseru's Blaziken Mimikyu Team,,Toranseru,,,,Blazikenite,,,Sitrus Berry,,,Never-Melt Ice,,,Focus Sash,,,Life Orb,,,Choice Scarf,,https://pokepast.es/2f924471bc2bcbaa,Yes,Extracted,✔,E2D318EH5J,20 Jun 2026,-,,https://x.com/toranseru_poke/status/2068319802796679534?s=46,-,-,toranseru_poke,,Blaziken-Mega,Basculegion,Vanilluxe,Kingambit,Mimikyu,Hydreigon,,MB125
MB124,_ghira_'s Mawile Ampharos Team,,_ghira_,,,,Ampharosite,,,Mawilite,,,Charcoal,,,Focus Sash,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/cb5685c96f86ac69,Yes,Extracted,✔,6TWVQHF36N,20 Jun 2026,-,,https://x.com/_ghira_/status/2068290442240627169?s=46,-,-,_ghira_,,Ampharos-Mega,Mawile-Mega,Incineroar,Basculegion,Staraptor,Farigiraf,,MB124
MB123,nl0u2aalww3fh0e's Staraptor Basculegion Team,,nl0u2aalww3fh0e,,,,Staraptite,,,Choice Scarf,,,Focus Sash,,,Chople Berry,,,White Herb,,,Dragon Fang,,https://pokepast.es/1eb8d74cc8e743ab,Yes,Extracted,✔,AFKAA4N5DG,20 Jun 2026,-,,https://x.com/nl0u2aalww3fh0e/status/2068279286973551091?s=46,-,-,nl0u2aalww3fh0e,,Staraptor-Mega,Basculegion-F,Whimsicott,Kingambit,Archaludon,Garchomp,,MB123
